location,rows,columns,missing,duplicates,first_timestamp,last_timestamp
Kolkata,102018,55,0,0,2015-01-02,2026-08-22 17:00:00
Delhi,102018,55,0,0,2015-01-02,2026-08-22 17:00:00
Mumbai,102018,55,0,0,2015-01-02,2026-08-22 17:00:00
Chennai,102018,55,0,0,2015-01-02,2026-08-22 17:00:00
Bengaluru,102018,55,0,0,2015-01-02,2026-08-22 17:00:00
Hyderabad,102018,55,0,0,2015-01-02,2026-08-22 17:00:00
Ahmedabad,102018,55,0,0,2015-01-02,2026-08-22 17:00:00
Guwahati,102018,55,0,0,2015-01-02,2026-08-22 17:00:00
Bhubaneswar,102018,55,0,0,2015-01-02,2026-08-22 17:00:00
Srinagar,102018,55,0,0,2015-01-02,2026-08-22 17:00:00
